Protein,p_val,avg_log2FC,p_val_adj,clone1,clone2
CD4,0.0225520532633722,-0.603946108995101,1,IDH-NPM1,IDH-NPM1-MAPK
CD69,0.0277503904555936,1.13953683702975,1,IDH-NPM1,IDH-NPM1-MAPK
CD62P,0.0667717035255299,2.03328992881581,1,IDH-NPM1,IDH-NPM1-MAPK
CD3,0.128361217366358,1.02365770430824,1,IDH-NPM1,IDH-NPM1-MAPK
IgG1,0.205153850877794,0.681427409327068,1,IDH-NPM1,IDH-NPM1-MAPK
CD44,0.266559731671662,-0.301928864982939,1,IDH-NPM1,IDH-NPM1-MAPK
CD13,0.32942619913715,0.160160620616484,1,IDH-NPM1,IDH-NPM1-MAPK
CD7,0.358502549936116,0.371986011859837,1,IDH-NPM1,IDH-NPM1-MAPK
Fc&#949;RI&#945;,0.359694500380469,0.608697588089286,1,IDH-NPM1,IDH-NPM1-MAPK
CD123,0.364052932753232,0.341981629086401,1,IDH-NPM1,IDH-NPM1-MAPK
CD49d,0.365694233851369,-0.259977980213216,1,IDH-NPM1,IDH-NPM1-MAPK
CD45,0.382580739486708,-0.251729590213952,1,IDH-NPM1,IDH-NPM1-MAPK
CD25,0.383401739393127,0.185827368756613,1,IDH-NPM1,IDH-NPM1-MAPK
CD1c,0.401026031732853,0.621796728552805,1,IDH-NPM1,IDH-NPM1-MAPK
CD33,0.462655893030077,-0.343109481380697,1,IDH-NPM1,IDH-NPM1-MAPK
CD14,0.507648126425922,-0.51900680126715,1,IDH-NPM1,IDH-NPM1-MAPK
CD64,0.519670561203442,-0.696155027730381,1,IDH-NPM1,IDH-NPM1-MAPK
CD5,0.524287271233063,0.474096596298791,1,IDH-NPM1,IDH-NPM1-MAPK
CD38,0.528277457892547,-0.123828343109361,1,IDH-NPM1,IDH-NPM1-MAPK
CD22,0.568711422506001,0.0589076674688505,1,IDH-NPM1,IDH-NPM1-MAPK
CD62L,0.570899409933265,-0.213145366909826,1,IDH-NPM1,IDH-NPM1-MAPK
CD11b,0.624844645048783,-0.581329655456144,1,IDH-NPM1,IDH-NPM1-MAPK
CD10,0.65884733811275,0.0664716641333332,1,IDH-NPM1,IDH-NPM1-MAPK
CD83,0.668053055504475,0.101261926158111,1,IDH-NPM1,IDH-NPM1-MAPK
CD71,0.728204447687692,-0.0031896912254048,1,IDH-NPM1,IDH-NPM1-MAPK
HLA-DR,0.742474088875986,-0.0120162058748408,1,IDH-NPM1,IDH-NPM1-MAPK
CD30,0.75197880893512,-0.198912230762222,1,IDH-NPM1,IDH-NPM1-MAPK
CD303,0.784438969845632,0.234283955834269,1,IDH-NPM1,IDH-NPM1-MAPK
CD304,0.787409826888065,-0.119721674105422,1,IDH-NPM1,IDH-NPM1-MAPK
